species,decimalLongitude,decimalLatitude
Aconitum heterophyllum,75.55,35.1
Aconitum heterophyllum,74.18,34.8
Aconitum heterophyllum,73.93,35.05
Aconitum heterophyllum,73.5,34.57
Aconitum heterophyllum,72,34.5
Aconitum heterophyllum,74.65,34.5
Aconitum heterophyllum,73.53,34.78
Aconitum heterophyllum,71.8,35.55
Aconitum heterophyllum,72.47,35.48
Aconitum heterophyllum,75.4,35.05
Aconitum heterophyllum,83.23,28.6
Aconitum heterophyllum,83.67,28.72
Aconitum heterophyllum,75.47,34.27
Aconitum heterophyllum,73.68,34.9
Aconitum heterophyllum,75.33,34
Aconitum heterophyllum,77,33
Aconitum heterophyllum,75,34.22
Aconitum heterophyllum,75.77,34.43
Aconitum heterophyllum,75.7,34.47
Aconitum heterophyllum,74.85,35.37
Aconitum heterophyllum,71.78,35.33
Aconitum heterophyllum,74.82,34.08
Aconitum heterophyllum,73.37,33.9
Aconitum heterophyllum,73,34.5
Aconitum heterophyllum,72.58,35.33
Aconitum heterophyllum,74.38,34.05
Aconitum heterophyllum,71.78,35.85
Aconitum heterophyllum,73.25,34.67
Aconitum heterophyllum,73.37,34.72
Aconitum heterophyllum,73.57,34.88
Aconitum heterophyllum,75.42,35
Aconitum heterophyllum,77.23,32.35
Aconitum heterophyllum,74.3,35.9
Aconitum heterophyllum,74.68,35.2
Aconitum heterophyllum,75.12,34.87
Aconitum heterophyllum,74.92,34.87
Aconitum heterophyllum,75.978953,32.534744
Aconitum heterophyllum,73.733333,34.866667
Aconitum heterophyllum,75.3353,34.1685
Aconitum heterophyllum,77.173424,31.104605
Aconitum heterophyllum,74.737,34.663
Aconitum heterophyllum,75.236,34.167
Aconitum heterophyllum,77.458677,31.259293
Aconitum heterophyllum,80.11,30.393
Aconitum heterophyllum,75.4585,34.0865
Aconitum heterophyllum,75.263,34.095
Aconitum heterophyllum,78.595,31.976
Aconitum heterophyllum,75.0576,34.42178
Aconitum heterophyllum,75.292,34.286
Aconitum heterophyllum,72.931,34.535
Aconitum heterophyllum,78.772,30.95
Aconitum heterophyllum,75.41581,34.258316
Aconitum heterophyllum,78.311,32.053
Aconitum heterophyllum,79.7,29.6
Aconitum heterophyllum,79.05,30.716667
